#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
10.0,25,2.860083
10.0,25,2.862089
10.0,25,2.862089
-12.678212,25,2.862089
0.0,25,2.97942
0.0,25,2.97942
0.0,25,2.97942
-36.77444,25,2.97942
0.0,25,3.088145
0.0,25,3.088145
0.0,25,3.088145
0.0,25,3.088145
0.0,25,3.20225
0.0,25,3.20225
0.0,25,3.20225
-17.433107,25,3.20225
0.0,25,3.318221
0.0,25,3.318221
0.0,25,3.318221
-9.018091,25,3.318221
0.0,25,3.478104
0.0,25,3.478104
0.0,25,3.478104
-0.004558571,25,3.478104
0.0,25,3.661348
0.0,25,3.661348
0.0,25,3.661348
-57.08136,25,3.661348
20.0,25,3.81271
20.0,25,3.81271
20.0,25,3.81271
-20.0,25,3.814737
20.0,25,3.918439
20.0,25,3.918439
20.0,25,3.918439
-20.0,25,3.918439
0.0,25,4.042298
0.0,25,4.057994
0.0,25,4.057994
-26.903584,25,4.057994
0.0,25,4.182251
0.0,25,4.182251
0.0,25,4.182251
-8.099457,25,4.182251
0.0,25,4.288346
0.0,25,4.288346
0.0,25,4.288346
-36.822193,25,4.288346
0.0,25,4.381042
0.0,25,4.38205
0.0,25,4.38205
0.0,25,4.38205
0.0,25,4.504143
0.0,25,4.504143
0.0,25,4.504143
-1.6871581,25,4.504143
0.0,25,4.635338
0.0,25,4.636333
0.0,25,4.636333
-21.743196,25,4.636333
10.0,25,4.810109
10.0,25,4.810109
10.0,25,4.810109
-33.039677,25,4.810109
0.0,25,4.923531
0.0,25,4.923531
0.0,25,4.923531
-0.22356784,25,4.923531
0.0,25,5.110045
0.0,25,5.110045
0.0,25,5.110045
-3.6249003,25,5.110045
0.0,25,5.306187
0.0,25,5.306187
0.0,25,5.306187
-7.2725773,25,5.306187
0.0,25,5.506476
0.0,25,5.506476
0.0,25,5.506476
0.0,25,5.506476
0.0,25,5.681322
0.0,25,5.681322
0.0,25,5.681322
0.0,25,5.681322
0.0,25,5.828403
0.0,25,5.828403
0.0,25,5.828403
-10.320055,25,5.828403
0.0,25,5.955047
0.0,25,5.955047
0.0,25,5.955047
-0.9746276,25,5.955047
0.0,25,6.058103
0.0,25,6.058103
0.0,25,6.058103
-1.0226624,25,6.058103
0.0,25,6.16988
0.0,25,6.16988
0.0,25,6.16988
-76.43733,25,6.16988
0.0,25,6.312519
0.0,25,6.312519
0.0,25,6.312519
0.0,25,6.312519
0.0,25,6.43707
0.0,25,6.43707
0.0,25,6.43707
-50.06961,25,6.43807
0.0,25,6.571946
0.0,25,6.571946
0.0,25,6.571946
0.0,25,6.571946
10.0,25,6.686603
10.0,25,6.686603
10.0,25,6.688112
-10.0,25,6.688112
30.0,25,6.844534
30.0,25,6.844534
30.0,25,6.844534
-31.903927,25,6.844534
0.0,25,6.969978
0.0,25,6.969978
0.0,25,6.969978
0.0,25,6.969978
0.0,25,7.095556
0.0,25,7.095556
0.0,25,7.095556
0.0,25,7.095556
0.0,25,7.209612
0.0,25,7.209612
0.0,25,7.209612
-17.685442,25,7.209612
0.0,25,7.323003
0.0,25,7.323003
0.0,25,7.323003
-41.31662,25,7.323003
0.0,25,7.425669
0.0,25,7.425669
0.0,25,7.426667
0.0,25,7.426667
30.0,25,7.560031
30.0,25,7.560031
30.0,25,7.560031
-30.0,25,7.560031
0.0,25,7.698325
0.0,25,7.698325
0.0,25,7.698325
-42.14743,25,7.698325
0.0,25,7.800272
0.0,25,7.800272
0.0,25,7.800272
-30.419315,25,7.800272
0.0,25,7.889791
0.0,25,7.889791
0.0,25,7.889791
-18.35267,25,7.889791
10.0,25,8.0282
10.0,25,8.028763
10.0,25,8.028763
-24.86265,25,8.028763
0.0,25,8.152896
0.0,25,8.152896
0.0,25,8.152896
-46.114532,25,8.152896
0.0,25,8.248208
0.0,25,8.248208
0.0,25,8.248208
0.0,25,8.248208
0.0,25,8.377995
0.0,25,8.377995
0.0,25,8.377995
0.0,25,8.377995
0.0,25,8.495752
0.0,25,8.495752
0.0,25,8.495752
-0.60010284,25,8.495752
0.0,25,8.59801
0.0,25,8.59801
0.0,25,8.59801
-0.66636837,25,8.59801
0.0,25,8.701154
0.0,25,8.701154
0.0,25,8.701154
0.0,25,8.701154
0.0,25,8.8184
0.0,25,8.8184
0.0,25,8.8184
0.0,25,8.8184
0.0,25,8.922607
0.0,25,8.922607
0.0,25,8.922607
-37.64116,25,8.922607
0.0,25,9.038127
0.0,25,9.038127
0.0,25,9.038127
0.0,25,9.038127
0.0,25,9.155313
0.0,25,9.155313
0.0,25,9.155313
0.0,25,9.155313
0.0,25,9.28006
0.0,25,9.28006
0.0,25,9.28006
-5.0310082,25,9.28006
0.0,25,9.390274
0.0,25,9.390274
0.0,25,9.390274
-39.07387,25,9.390274
0.0,25,9.508011
0.0,25,9.508011
0.0,25,9.508011
-20.72843,25,9.508011
20.0,25,9.643219
20.0,25,9.643219
20.0,25,9.643219
-32.205635,25,9.643219
0.0,25,9.760074
0.0,25,9.760074
0.0,25,9.760074
0.0,25,9.760074
0.0,25,9.864408
0.0,25,9.864408
0.0,25,9.864408
0.0,25,9.864408
0.0,25,10.008193
0.0,25,10.008193
0.0,25,10.008193
-2.0280643,25,10.008193
10.0,25,10.152873
10.0,25,10.152873
10.0,25,10.152873
-10.769487,25,10.152873
10.0,25,10.303201
10.0,25,10.303201
10.0,25,10.303201
-10.0,25,10.303201
0.0,25,10.449051
0.0,25,10.449051
0.0,25,10.449051
-53.927917,25,10.449051
0.0,25,10.566149
0.0,25,10.566149
0.0,25,10.566149
0.0,25,10.566149
30.0,25,10.678426
30.0,25,10.678426
30.0,25,10.678426
-30.0,25,10.678426
0.0,25,10.798047
0.0,25,10.798047
0.0,25,10.799907
0.0,25,10.799907
0.0,25,10.937264
0.0,25,10.937264
0.0,25,10.937264
0.0,25,10.937264
30.0,25,11.054445
30.0,25,11.054445
30.0,25,11.054445
